Incident ID,Description,Category,Priority,Timestamp,Location,Reporter Role
IT-00085,Hard drive making unusual noises.,Hardware Failures,Medium,2024-09-25 10:00:00,Branch Office,Employee
IT-00086,Hard drive making unusual noises.,Hardware Failures,Low,2024-06-20 19:00:00,Branch Office,Employee
IT-00087,Detected unauthorized login attempt.,Security Incidents,Low,2024-11-20 16:00:00,Branch Office,Employee
IT-00088,System is running very slow since the last update.,Performance Degradation,Critical,2024-05-10 04:00:00,HQ,IT Staff
IT-00089,Frequent disconnections in VPN.,Network Issues,Low,2024-04-29 01:00:00,HQ,Manager
IT-00090,Database queries are timing out.,Performance Degradation,Medium,2024-05-16 09:00:00,HQ,Manager
IT-00091,Laptop screen not turning on.,Hardware Failures,Critical,2024-08-13 14:00:00,Remote,Manager
IT-00092,Unable to log in to the system after password reset.,Login/Authentication Issues,Medium,2024-12-10 19:00:00,HQ,Manager
IT-00093,File not found in the document repository.,Data Access Issues,Critical,2024-12-16 16:00:00,Remote,IT Staff
IT-00094,Website takes over 30 seconds to load.,Performance Degradation,Medium,2024-07-12 06:00:00,HQ,Manager
IT-00095,Access denied error despite correct credentials.,Login/Authentication Issues,Critical,2024-11-27 18:00:00,Branch Office,IT Staff
IT-00096,Incorrect DNS settings causing issues.,Configuration Errors,Critical,2024-09-21 12:00:00,Remote,Employee
IT-00097,Application crashes when clicking 'Submit'.,Software Bugs,Medium,2024-08-09 01:00:00,HQ,IT Staff
IT-00098,Application crashes when clicking 'Submit'.,Software Bugs,Medium,2024-09-13 22:00:00,Branch Office,Manager
IT-00099,The internet is down in the main office.,Network Issues,Medium,2024-11-25 06:00:00,HQ,Employee
IT-00100,Cannot retrieve records from the database.,Data Access Issues,Medium,2024-11-12 20:00:00,Remote,Employee
IT-00101,Two-factor authentication code not received.,Login/Authentication Issues,Critical,2024-08-09 20:00:00,Remote,Manager
IT-00102,System is running very slow since the last update.,Performance Degradation,Critical,2024-02-10 12:00:00,HQ,Manager
IT-00103,Phishing email reported by multiple employees.,Security Incidents,Low,2024-05-30 18:00:00,Remote,Employee
IT-00104,Cannot retrieve records from the database.,Data Access Issues,Critical,2024-11-04 18:00:00,Remote,IT Staff
IT-00105,Cannot retrieve records from the database.,Data Access Issues,Critical,2024-12-06 20:00:00,Branch Office,Employee
IT-00106,Database queries are timing out.,Performance Degradation,Low,2024-11-07 03:00:00,Remote,Employee
IT-00107,File not found in the document repository.,Data Access Issues,Medium,2024-04-05 23:00:00,Branch Office,Employee
IT-00108,Laptop screen not turning on.,Hardware Failures,Critical,2024-12-13 13:00:00,Remote,Employee
IT-00109,The internet is down in the main office.,Network Issues,Critical,2024-10-11 09:00:00,Branch Office,Employee
IT-00110,Database queries are timing out.,Performance Degradation,Critical,2024-12-02 12:00:00,Branch Office,IT Staff
IT-00111,Phishing email reported by multiple employees.,Security Incidents,Medium,2024-11-01 05:00:00,Remote,Manager
IT-00112,Frequent disconnections in VPN.,Network Issues,Medium,2024-03-26 21:00:00,Branch Office,Manager
IT-00113,Phishing email reported by multiple employees.,Security Incidents,High,2024-06-18 05:00:00,HQ,IT Staff
IT-00114,Misconfigured firewall blocking traffic.,Configuration Errors,Critical,2024-02-23 01:00:00,Branch Office,Employee
IT-00115,Misconfigured firewall blocking traffic.,Configuration Errors,Medium,2024-09-23 13:00:00,Remote,Employee
IT-00116,Email server configuration mismatch.,Configuration Errors,Medium,2024-12-06 12:00:00,Branch Office,IT Staff
IT-00117,Unable to log in to the system after password reset.,Login/Authentication Issues,Critical,2024-02-08 16:00:00,HQ,Manager
IT-00118,The internet is down in the main office.,Network Issues,High,2024-11-19 22:00:00,Branch Office,IT Staff
IT-00119,System is running very slow since the last update.,Performance Degradation,High,2024-08-22 07:00:00,HQ,IT Staff
IT-00120,Permission denied error for accessing shared drive.,Data Access Issues,High,2024-10-30 18:00:00,Remote,IT Staff
IT-00121,Detected unauthorized login attempt.,Security Incidents,Critical,2024-12-11 22:00:00,Branch Office,Manager
IT-00122,Hard drive making unusual noises.,Hardware Failures,High,2024-10-03 13:00:00,Remote,Manager
IT-00123,Cannot retrieve records from the database.,Data Access Issues,Medium,2024-04-20 05:00:00,Remote,IT Staff
IT-00124,Cannot retrieve records from the database.,Data Access Issues,High,2024-09-15 10:00:00,Remote,Manager
IT-00125,Frequent disconnections in VPN.,Network Issues,High,2024-07-21 11:00:00,Branch Office,IT Staff
IT-00126,Two-factor authentication code not received.,Login/Authentication Issues,Low,2024-03-16 20:00:00,Branch Office,Manager
IT-00127,Laptop screen not turning on.,Hardware Failures,Critical,2024-03-17 23:00:00,HQ,Manager
IT-00128,Printer showing paper jam error.,Hardware Failures,High,2024-11-21 16:00:00,Branch Office,IT Staff
IT-00129,Website takes over 30 seconds to load.,Performance Degradation,Low,2024-08-30 01:00:00,HQ,Manager
IT-00130,Unable to log in to the system after password reset.,Login/Authentication Issues,Critical,2024-03-12 09:00:00,Remote,Manager
IT-00131,Detected unauthorized login attempt.,Security Incidents,Medium,2024-11-07 05:00:00,Remote,IT Staff
IT-00132,Unable to connect to Wi-Fi on the 3rd floor.,Network Issues,Medium,2024-12-11 05:00:00,HQ,Manager
IT-00133,Frequent disconnections in VPN.,Network Issues,Medium,2024-11-24 22:00:00,Remote,Employee
IT-00134,Permission denied error for accessing shared drive.,Data Access Issues,Critical,2024-04-30 04:00:00,HQ,Employee
IT-00135,System is running very slow since the last update.,Performance Degradation,Low,2024-01-05 07:00:00,Remote,Employee
IT-00136,Error 500 displayed on the portal.,Software Bugs,Low,2024-03-22 13:00:00,Branch Office,Manager
IT-00137,Unable to log in to the system after password reset.,Login/Authentication Issues,Medium,2024-10-11 21:00:00,HQ,IT Staff
IT-00138,Website takes over 30 seconds to load.,Performance Degradation,Low,2024-01-07 11:00:00,Branch Office,IT Staff
IT-00139,Laptop screen not turning on.,Hardware Failures,Low,2024-05-23 19:00:00,HQ,Employee
IT-00140,System is running very slow since the last update.,Performance Degradation,Critical,2024-04-03 05:00:00,Branch Office,Manager
IT-00141,Laptop screen not turning on.,Hardware Failures,Low,2024-07-16 06:00:00,Remote,IT Staff
IT-00142,Access denied error despite correct credentials.,Login/Authentication Issues,Medium,2024-02-17 19:00:00,HQ,Manager
IT-00143,Permission denied error for accessing shared drive.,Data Access Issues,High,2024-08-10 19:00:00,Branch Office,IT Staff
IT-00144,Laptop screen not turning on.,Hardware Failures,High,2024-04-24 19:00:00,Branch Office,IT Staff
IT-00145,Application crashes when clicking 'Submit'.,Software Bugs,Critical,2024-08-18 15:00:00,Remote,Manager
IT-00146,System is running very slow since the last update.,Performance Degradation,Critical,2024-02-24 12:00:00,Remote,IT Staff
IT-00147,Access denied error despite correct credentials.,Login/Authentication Issues,Medium,2024-11-01 20:00:00,Branch Office,IT Staff
IT-00148,Access denied error despite correct credentials.,Login/Authentication Issues,Critical,2024-12-25 19:00:00,Remote,Employee
IT-00149,Database queries are timing out.,Performance Degradation,Critical,2024-05-20 04:00:00,HQ,Employee
IT-00150,Antivirus flagged malware on the server.,Security Incidents,Low,2024-03-01 16:00:00,HQ,Employee
IT-00151,Phishing email reported by multiple employees.,Security Incidents,High,2024-12-08 23:00:00,HQ,Employee
IT-00152,Hard drive making unusual noises.,Hardware Failures,Critical,2024-10-23 19:00:00,Branch Office,Manager
IT-00153,Antivirus flagged malware on the server.,Security Incidents,Low,2024-01-07 17:00:00,HQ,IT Staff
IT-00154,Detected unauthorized login attempt.,Security Incidents,Medium,2024-09-02 02:00:00,HQ,Employee
IT-00155,Database queries are timing out.,Performance Degradation,Critical,2024-06-01 12:00:00,Remote,IT Staff
IT-00156,Cannot retrieve records from the database.,Data Access Issues,High,2024-05-07 03:00:00,Remote,Manager
IT-00157,Detected unauthorized login attempt.,Security Incidents,Low,2024-02-18 12:00:00,HQ,Manager
IT-00158,Printer showing paper jam error.,Hardware Failures,Critical,2024-01-24 03:00:00,Branch Office,Employee
IT-00159,Access denied error despite correct credentials.,Login/Authentication Issues,Medium,2024-02-13 22:00:00,HQ,Manager
IT-00160,Error 500 displayed on the portal.,Software Bugs,Medium,2024-06-21 11:00:00,Branch Office,IT Staff
IT-00161,Misconfigured firewall blocking traffic.,Configuration Errors,Medium,2024-01-25 16:00:00,Remote,Manager
IT-00162,File not found in the document repository.,Data Access Issues,Medium,2024-05-31 15:00:00,Branch Office,Manager
IT-00163,Antivirus flagged malware on the server.,Security Incidents,Medium,2024-09-28 10:00:00,Remote,IT Staff
IT-00164,Database queries are timing out.,Performance Degradation,Critical,2024-05-09 15:00:00,Remote,Employee
IT-00165,Printer showing paper jam error.,Hardware Failures,Critical,2024-11-19 13:00:00,Remote,Manager
IT-00166,Antivirus flagged malware on the server.,Security Incidents,Critical,2024-02-29 15:00:00,Remote,Employee
IT-00167,Cannot retrieve records from the database.,Data Access Issues,Low,2024-09-08 14:00:00,HQ,Manager
IT-00168,Application crashes when clicking 'Submit'.,Software Bugs,High,2024-07-10 00:00:00,Remote,IT Staff
IT-00169,Email server configuration mismatch.,Configuration Errors,Low,2024-07-13 23:00:00,Branch Office,Employee
IT-00170,Two-factor authentication code not received.,Login/Authentication Issues,Low,2024-04-23 00:00:00,HQ,Manager
IT-00171,Incorrect DNS settings causing issues.,Configuration Errors,Medium,2024-03-26 16:00:00,HQ,Employee
IT-00172,Application crashes when clicking 'Submit'.,Software Bugs,Critical,2024-05-07 14:00:00,Branch Office,Employee
IT-00173,The internet is down in the main office.,Network Issues,Medium,2024-05-01 03:00:00,Remote,Employee
IT-00174,Unable to log in to the system after password reset.,Login/Authentication Issues,Low,2024-02-22 06:00:00,Remote,IT Staff
IT-00175,Error 500 displayed on the portal.,Software Bugs,Low,2024-04-30 06:00:00,HQ,IT Staff
IT-00176,Antivirus flagged malware on the server.,Security Incidents,Low,2024-06-23 21:00:00,Remote,Employee
IT-00177,Incorrect DNS settings causing issues.,Configuration Errors,Medium,2024-09-12 12:00:00,Remote,Employee
IT-00178,Printer showing paper jam error.,Hardware Failures,Low,2024-05-22 10:00:00,Remote,Manager
IT-00179,Email server configuration mismatch.,Configuration Errors,Medium,2024-12-19 06:00:00,HQ,Employee
IT-00180,The CRM system is freezing frequently.,Software Bugs,Medium,2024-08-07 09:00:00,Remote,Manager
IT-00181,Incorrect DNS settings causing issues.,Configuration Errors,Low,2024-05-06 13:00:00,Branch Office,IT Staff
IT-00182,Misconfigured firewall blocking traffic.,Configuration Errors,High,2024-05-02 23:00:00,Branch Office,IT Staff
IT-00183,Phishing email reported by multiple employees.,Security Incidents,Critical,2024-07-06 21:00:00,Branch Office,Manager
IT-00184,Laptop screen not turning on.,Hardware Failures,High,2024-03-13 17:00:00,Branch Office,IT Staff
IT-00185,Hard drive making unusual noises.,Hardware Failures,Critical,2024-03-27 12:00:00,Remote,Employee
IT-00186,The CRM system is freezing frequently.,Software Bugs,Medium,2024-06-29 02:00:00,Remote,Manager
IT-00187,Database queries are timing out.,Performance Degradation,Critical,2024-06-17 15:00:00,Remote,IT Staff
IT-00188,Email server configuration mismatch.,Configuration Errors,High,2024-09-30 04:00:00,HQ,IT Staff
IT-00189,Phishing email reported by multiple employees.,Security Incidents,Low,2024-07-09 10:00:00,Remote,Manager
IT-00190,Antivirus flagged malware on the server.,Security Incidents,Medium,2024-09-25 02:00:00,Remote,Manager
IT-00191,Permission denied error for accessing shared drive.,Data Access Issues,High,2024-08-07 18:00:00,HQ,Manager
IT-00192,Frequent disconnections in VPN.,Network Issues,Critical,2024-05-12 11:00:00,HQ,Employee
IT-00193,Phishing email reported by multiple employees.,Security Incidents,Medium,2024-09-06 06:00:00,Remote,IT Staff
IT-00194,File not found in the document repository.,Data Access Issues,High,2024-03-31 14:00:00,Branch Office,IT Staff
IT-00195,File not found in the document repository.,Data Access Issues,Low,2024-10-06 21:00:00,Remote,IT Staff
IT-00196,Unable to connect to Wi-Fi on the 3rd floor.,Network Issues,High,2024-03-15 00:00:00,HQ,Employee
IT-00197,Application crashes when clicking 'Submit'.,Software Bugs,Low,2024-05-18 10:00:00,HQ,IT Staff
IT-00198,Cannot retrieve records from the database.,Data Access Issues,Low,2024-05-20 01:00:00,Remote,Manager
IT-00199,Hard drive making unusual noises.,Hardware Failures,Medium,2024-04-25 23:00:00,Remote,IT Staff
IT-00200,Laptop screen not turning on.,Hardware Failures,Critical,2024-03-17 10:00:00,Remote,Manager
IT-00201,Unable to log in to the system after password reset.,Login/Authentication Issues,Medium,2024-08-24 01:00:00,Branch Office,Employee
IT-00202,Error 500 displayed on the portal.,Software Bugs,High,2024-10-11 07:00:00,HQ,Manager
IT-00203,Cannot retrieve records from the database.,Data Access Issues,Critical,2024-09-15 01:00:00,Branch Office,Employee
IT-00204,Website takes over 30 seconds to load.,Performance Degradation,Critical,2024-08-01 17:00:00,Remote,IT Staff
IT-00205,Database queries are timing out.,Performance Degradation,Medium,2024-06-10 19:00:00,HQ,IT Staff
IT-00206,Phishing email reported by multiple employees.,Security Incidents,High,2024-01-13 08:00:00,Remote,IT Staff
IT-00207,Database queries are timing out.,Performance Degradation,Low,2024-06-18 01:00:00,Remote,Employee
IT-00208,Two-factor authentication code not received.,Login/Authentication Issues,High,2024-10-14 12:00:00,HQ,Employee
IT-00209,File not found in the document repository.,Data Access Issues,Low,2024-01-18 08:00:00,Branch Office,Employee
IT-00210,Cannot retrieve records from the database.,Data Access Issues,High,2024-03-08 18:00:00,Remote,Employee
IT-00211,Antivirus flagged malware on the server.,Security Incidents,Medium,2024-06-01 04:00:00,HQ,Manager
IT-00212,Cannot retrieve records from the database.,Data Access Issues,Low,2024-06-08 12:00:00,Remote,Manager
IT-00213,File not found in the document repository.,Data Access Issues,High,2024-05-09 11:00:00,Remote,Manager
IT-00214,File not found in the document repository.,Data Access Issues,High,2024-04-23 00:00:00,Remote,Employee
IT-00215,The CRM system is freezing frequently.,Software Bugs,Medium,2024-06-16 03:00:00,Remote,Manager
IT-00216,Access denied error despite correct credentials.,Login/Authentication Issues,Low,2024-06-10 13:00:00,Remote,IT Staff
IT-00217,The internet is down in the main office.,Network Issues,Low,2024-06-19 02:00:00,Branch Office,IT Staff
IT-00218,Error 500 displayed on the portal.,Software Bugs,Low,2024-07-28 05:00:00,HQ,Manager
IT-00219,Two-factor authentication code not received.,Login/Authentication Issues,Critical,2024-03-31 11:00:00,Remote,Manager
IT-00220,Access denied error despite correct credentials.,Login/Authentication Issues,High,2024-10-20 12:00:00,Remote,Manager
IT-00221,Hard drive making unusual noises.,Hardware Failures,Critical,2024-04-23 01:00:00,Remote,Employee
IT-00222,The internet is down in the main office.,Network Issues,Critical,2024-01-14 12:00:00,Branch Office,Employee
IT-00223,Printer showing paper jam error.,Hardware Failures,Low,2024-09-06 23:00:00,Branch Office,Manager
IT-00224,Access denied error despite correct credentials.,Login/Authentication Issues,Medium,2024-10-04 05:00:00,Remote,Employee
IT-00225,Hard drive making unusual noises.,Hardware Failures,Critical,2024-10-14 02:00:00,Branch Office,Manager
IT-00226,File not found in the document repository.,Data Access Issues,High,2024-02-17 09:00:00,Remote,Employee
IT-00227,Two-factor authentication code not received.,Login/Authentication Issues,High,2024-06-13 05:00:00,HQ,Employee
IT-00228,Antivirus flagged malware on the server.,Security Incidents,Critical,2024-01-09 11:00:00,HQ,Employee
IT-00229,Misconfigured firewall blocking traffic.,Configuration Errors,High,2024-06-14 03:00:00,Branch Office,Manager
IT-00230,Two-factor authentication code not received.,Login/Authentication Issues,Critical,2024-07-25 01:00:00,HQ,Employee
IT-00231,Permission denied error for accessing shared drive.,Data Access Issues,Critical,2024-02-29 07:00:00,HQ,IT Staff
IT-00232,Email server configuration mismatch.,Configuration Errors,Low,2024-10-14 00:00:00,HQ,IT Staff
IT-00233,The internet is down in the main office.,Network Issues,Low,2024-12-04 03:00:00,HQ,IT Staff
IT-00234,Application crashes when clicking 'Submit'.,Software Bugs,High,2024-09-29 02:00:00,HQ,IT Staff
IT-00235,Printer showing paper jam error.,Hardware Failures,Critical,2024-11-30 20:00:00,HQ,Employee
IT-00236,Two-factor authentication code not received.,Login/Authentication Issues,Medium,2024-06-09 01:00:00,HQ,Employee
IT-00237,Application crashes when clicking 'Submit'.,Software Bugs,Medium,2024-02-23 06:00:00,Remote,Manager
IT-00238,Misconfigured firewall blocking traffic.,Configuration Errors,High,2024-10-04 14:00:00,HQ,Employee
IT-00239,Misconfigured firewall blocking traffic.,Configuration Errors,Medium,2024-02-27 13:00:00,HQ,Manager
IT-00240,Email server configuration mismatch.,Configuration Errors,High,2024-01-20 12:00:00,Branch Office,Employee
IT-00241,Unable to connect to Wi-Fi on the 3rd floor.,Network Issues,High,2024-10-03 12:00:00,Remote,Manager
IT-00242,Detected unauthorized login attempt.,Security Incidents,Medium,2024-07-19 22:00:00,HQ,Employee
IT-00243,Two-factor authentication code not received.,Login/Authentication Issues,High,2024-05-30 20:00:00,HQ,IT Staff
IT-00244,Laptop screen not turning on.,Hardware Failures,High,2024-07-01 22:00:00,HQ,IT Staff
IT-00245,Error 500 displayed on the portal.,Software Bugs,High,2024-05-07 01:00:00,Branch Office,Manager
IT-00246,Antivirus flagged malware on the server.,Security Incidents,Critical,2024-01-12 02:00:00,HQ,IT Staff
IT-00247,Error 500 displayed on the portal.,Software Bugs,Critical,2024-06-12 03:00:00,Branch Office,Employee
IT-00248,Hard drive making unusual noises.,Hardware Failures,Critical,2024-05-04 16:00:00,Remote,Manager
IT-00249,Email server configuration mismatch.,Configuration Errors,Low,2024-11-20 05:00:00,HQ,Employee
IT-00250,Two-factor authentication code not received.,Login/Authentication Issues,High,2024-12-27 03:00:00,Remote,Manager
IT-00251,File not found in the document repository.,Data Access Issues,High,2024-10-20 07:00:00,Branch Office,IT Staff
IT-00252,The internet is down in the main office.,Network Issues,High,2024-07-25 01:00:00,Remote,Manager
IT-00253,Unable to connect to Wi-Fi on the 3rd floor.,Network Issues,Low,2024-07-05 13:00:00,HQ,Employee
IT-00254,Frequent disconnections in VPN.,Network Issues,Critical,2024-12-02 09:00:00,HQ,IT Staff
IT-00255,Unable to connect to Wi-Fi on the 3rd floor.,Network Issues,Low,2024-07-11 04:00:00,HQ,IT Staff
IT-00256,Permission denied error for accessing shared drive.,Data Access Issues,High,2024-01-07 21:00:00,Branch Office,Manager
IT-00257,Unable to log in to the system after password reset.,Login/Authentication Issues,High,2024-09-10 01:00:00,HQ,IT Staff
IT-00258,Cannot retrieve records from the database.,Data Access Issues,High,2024-11-08 17:00:00,Branch Office,Manager
IT-00259,Cannot retrieve records from the database.,Data Access Issues,Critical,2024-05-22 12:00:00,Branch Office,Manager
IT-00260,Hard drive making unusual noises.,Hardware Failures,High,2024-02-02 21:00:00,Remote,Manager
IT-00261,Database queries are timing out.,Performance Degradation,Low,2024-06-11 12:00:00,Remote,Employee
